# ==============================================================================
# Signal samples
# ==============================================================================

# H125
# ------------------------------------------------------------------------------

PowhegPy8_NNLOPS_ggH125     mc16_13TeV.343981.PowhegPythia8EvtGen_NNLOPS_nnlo_30_ggH125_gamgam
PowhegPy8_ttH127      346673
PowhegPy8_ttH130      346674
PowhegPy8_ttH140      346675

aMCnloPy8_tHjb110_4fl      346707
aMCnloPy8_tHjb122_4fl      346708
aMCnloPy8_tHjb123_4fl      346709
aMCnloPy8_tHjb124_4fl      346710
aMCnloPy8_tHjb126_4fl      346711
aMCnloPy8_tHjb127_4fl      346712
aMCnloPy8_tHjb130_4fl      346713
aMCnloPy8_tHjb140_4fl      346714

aMCnloPy8_tWH110      346715
aMCnloPy8_tWH122      346716
aMCnloPy8_tWH123      346717
aMCnloPy8_tWH124      346718
aMCnloPy8_tWH126      346719
aMCnloPy8_tWH127      346720
aMCnloPy8_tWH130      346721
aMCnloPy8_tWH140      346722

# FCNC
# ------------------------------------------------------------------------------
PhPy8EG_ttbar_hdamp258p75_Q2cHbWmln         410764
PhPy8EG_ttbar_hdamp258p75_Q2cHbWpln         410765
PhPy8EG_ttbar_hdamp258p75_Q2cHbWmqq         410766
PhPy8EG_ttbar_hdamp258p75_Q2cHbWpqq         410767
PhPy8EG_ttbar_hdamp258p75_Q2uHbWmln         410768
PhPy8EG_ttbar_hdamp258p75_Q2uHbWpln         410769
PhPy8EG_ttbar_hdamp258p75_Q2uHbWmqq         410770
PhPy8EG_ttbar_hdamp258p75_Q2uHbWpqq         410771

MadGraphPythia8EvtGen_A14NNPDF23_tWgamma_GamFromDec         412006
MadGraphPythia8EvtGen_A14NNPDF23_tWgamma         412120
aMcAtNloPy8EG_A14NNPDF23_tqgammaSM_tchan_4fl_NLO         412147

aMcAtNloPy8_tphiQHbWln          412051
aMcAtNloPy8_tphiQHbWqq          412052
aMcAtNloPy8_tcphiQHbWln         412053
aMcAtNloPy8_tcphiQHbWqq         412054
aMcAtNloPy8_uphiQHbWln          412055
aMcAtNloPy8_uphiQHbWqq          412056
aMcAtNloPy8_ctphiQHbWln         412057
aMcAtNloPy8_ctphiQHbWqq         412058

PhH7_tthdamp258p75_Q2cHgamgambWmln 600776
PhH7_tthdamp258p75_Q2cHgamgambWmqq 600777
PhH7_tthdamp258p75_Q2uHgamgambWmln 600778
PhH7_tthdamp258p75_Q2uHgamgambWmqq 600779

aMCnloH7_tphiQHgamgambWln 506809
aMcnloH7_tphiQHgamgambWqq 506810
aMCnloH7_tcphiQHgamgambWln 506807
aMCnloH7_tcphiQHgamgambWqq 506808



# FCNC (shower weight bugs)
# ------------------------------------------------------------------------------
# these ones have the shower weight bugs but are kept, only in mc16d
# because they exist in both AFII and FS flavors, for comparison
# here they are duplicated (AFII / FS)

aMcAtNloPy8_tphiQHbWln_shwbug          410752
aMcAtNloPy8_tphiQHbWqq_shwbug          410753
aMcAtNloPy8_tcphiQHbWln_shwbug         410754
aMcAtNloPy8_tcphiQHbWqq_shwbug         410755
aMcAtNloPy8_uphiQHbWln_shwbug          410756
aMcAtNloPy8_uphiQHbWqq_shwbug          410757
aMcAtNloPy8_ctphiQHbWln_shwbug         410758
aMcAtNloPy8_ctphiQHbWqq_shwbug         410759

# H+c
# ------------------------------------------------------------------------------

MGPy8_cH_Hgammagamma        346394

# Low/high-mass
# ------------------------------------------------------------------------------

PowhegPy8_ggH40		    345751
PowhegPy8_ggH60     	    342020
PowhegPy8_ggH80     	    342023
PowhegPy8_ggH100     	    342008
PowhegPy8_ggH120     	    342060
PowhegPy8_ggH160     	    345752
PowhegPy8_ggH200     	    342012
PowhegPy8_ggH250     	    342013
PowhegPy8_ggH300     	    342014
PowhegPy8_ggH400     	    342016
PowhegPy8_ggH600     	    342019
PowhegPy8_ggH750     	    343470
PowhegPy8_ggH800     	    342022
PowhegPy8_ggH1000  	    342007
PowhegPy8_ggH1500     	    342009
PowhegPy8_ggH2000     	    342011
PowhegPy8_ggH2400     	    346332
PowhegPy8_ggH3000     	    346333
PowhegPy8_ggH4000     	    346334
PowhegPy8_ggH5000     	    346335

PowhegPy8_VBFH40     	    345753
PowhegPy8_VBFH60     	    342034
PowhegPy8_VBFH80    	    342036
PowhegPy8_VBFH100     	    342026
PowhegPy8_VBFH120     	    342068
PowhegPy8_VBFH160     	    345754
PowhegPy8_VBFH200     	    342029
PowhegPy8_VBFH300     	    342030
PowhegPy8_VBFH400     	    342031
PowhegPy8_VBFH600     	    342033
PowhegPy8_VBFH800     	    342035
PowhegPy8_VBFH1000     	    342025
PowhegPy8_VBFH1500     	    342027
PowhegPy8_VBFH2000     	    342028
PowhegPy8_VBFH2400     	    346336
PowhegPy8_VBFH3000     	    346337
PowhegPy8_VBFH4000     	    346338
PowhegPy8_VBFH5000     	    346339

Pythia8_ZH40                345757
Pythia8_ZH60                342270
Pythia8_ZH80                342271
Pythia8_ZH100               342272
Pythia8_ZH120               342084
Pythia8_ZH160               345758
Pythia8_ZH200               342273
Pythia8_ZH300               342274
Pythia8_ZH400               342275
Pythia8_ZH600               342277
Pythia8_ZH800               342278
Pythia8_ZH1000              342279
Pythia8_ZH1500              342280
Pythia8_ZH2000              342281
Pythia8_ZH2400              346353
Pythia8_ZH3000              346354
Pythia8_ZH4000              346355
Pythia8_ZH5000              346356

Pythia8_WH40                345755
Pythia8_WH60                342258
Pythia8_WH80                342259
Pythia8_WH100               342260
Pythia8_WH120               342076
Pythia8_WH160               345756
Pythia8_WH200               342261
